true,measurement
0.05,0.083
0.05,0.083
0.05,0.083
0.05,0.083
0.05,0.083
0.05,0.083
0.05,0.084
0.05,0.083
0.05,0.083
0.05,0.083
0.05,0.084
0.05,0.084
0.05,0.083
0.05,0.083
0.05,0.083
0.05,0.083
0.05,0.084
0.05,0.083
0.05,0.083
0.05,0.084
0.05,0.083
0.05,0.084
0.05,0.084
0.05,0.084
0.05,0.084
0.05,0.084
0.05,0.083
0.05,0.083
0.05,0.084
0.05,0.084
0.05,0.083
0.05,0.083
0.05,0.084
0.05,0.083
0.05,0.083
0.05,0.083
0.05,0.083
0.05,0.084
0.05,0.084
0.05,0.084
0.05,0.083
0.05,0.083
0.05,0.084
0.05,0.083
0.05,0.084
0.05,0.083
0.05,0.083
0.05,0.083
0.05,0.084
0.05,0.083
0.05,0.084
0.05,0.084
0.05,0.083
0.05,0.084
0.05,0.084
0.05,0.084
0.05,0.083
0.05,0.083
0.05,0.084
0.05,0.083
0.07,0.103
0.07,0.103
0.07,0.104
0.07,0.104
0.07,0.104
0.07,0.104
0.07,0.104
0.07,0.104
0.07,0.103
0.07,0.103
0.07,0.104
0.07,0.103
0.07,0.103
0.07,0.104
0.07,0.103
0.07,0.103
0.07,0.104
0.07,0.104
0.07,0.103
0.07,0.103
0.07,0.104
0.07,0.103
0.07,0.103
0.07,0.104
0.07,0.103
0.07,0.104
0.07,0.104
0.07,0.103
0.07,0.103
0.07,0.103
0.07,0.103
0.07,0.103
0.07,0.104
0.07,0.103
0.07,0.104
0.07,0.103
0.07,0.104
0.07,0.103
0.07,0.103
0.07,0.104
0.07,0.103
0.07,0.104
0.07,0.104
0.07,0.104
0.07,0.103
0.07,0.104
0.07,0.103
0.07,0.104
0.07,0.104
0.07,0.103
0.07,0.103
0.07,0.104
0.07,0.103
0.07,0.104
0.07,0.104
0.07,0.104
0.07,0.104
0.07,0.103
0.07,0.104
0.07,0.104
0.09,0.125
0.09,0.125
0.09,0.126
0.09,0.126
0.09,0.126
0.09,0.126
0.09,0.125
0.09,0.126
0.09,0.125
0.09,0.126
0.09,0.126
0.09,0.126
0.09,0.125
0.09,0.126
0.09,0.126
0.09,0.126
0.09,0.125
0.09,0.126
0.09,0.125
0.09,0.125
0.09,0.125
0.09,0.125
0.09,0.125
0.09,0.126
0.09,0.126
0.09,0.125
0.09,0.126
0.09,0.125
0.09,0.126
0.09,0.126
0.09,0.126
0.09,0.126
0.09,0.126
0.09,0.125
0.09,0.125
0.09,0.126
0.09,0.126
0.09,0.126
0.09,0.126
0.09,0.126
0.09,0.126
0.09,0.125
0.09,0.125
0.09,0.125
0.09,0.126
0.09,0.125
0.09,0.125
0.09,0.126
0.09,0.125
0.09,0.125
0.09,0.126
0.09,0.125
0.09,0.125
0.09,0.125
0.09,0.126
0.09,0.125
0.09,0.125
0.09,0.126
0.09,0.126
0.09,0.125
0.09,0.125
0.09,0.126
0.09,0.125
0.09,0.126
0.09,0.126
0.09,0.126
0.09,0.125
0.11,0.146
0.11,0.147
0.11,0.148
0.11,0.147
0.11,0.148
0.11,0.146
0.11,0.147
0.11,0.147
0.11,0.148
0.11,0.147
0.11,0.146
0.11,0.147
0.11,0.148
0.11,0.147
0.11,0.146
0.11,0.147
0.11,0.146
0.11,0.148
0.11,0.146
0.11,0.147
0.11,0.147
0.11,0.146
0.11,0.148
0.11,0.148
0.11,0.148
0.11,0.147
0.11,0.147
0.11,0.146
0.11,0.146
0.11,0.147
0.11,0.146
0.11,0.146
0.11,0.147
0.11,0.148
0.11,0.146
0.11,0.148
0.11,0.148
0.11,0.147
0.11,0.146
0.11,0.147
0.11,0.147
0.11,0.146
0.11,0.147
0.11,0.147
0.11,0.146
0.11,0.147
0.11,0.146
0.11,0.146
0.11,0.146
0.11,0.147
0.11,0.147
0.11,0.146
0.11,0.147
0.11,0.148
0.11,0.147
0.11,0.146
0.11,0.146
0.11,0.146
0.11,0.146
0.11,0.148
0.11,0.146
0.11,0.148
0.11,0.148
0.11,0.146
0.11,0.146
0.11,0.148
0.11,0.148
0.11,0.147
0.11,0.147
0.11,0.148
0.11,0.148
0.11,0.146
0.11,0.148
0.11,0.146
0.11,0.147
0.11,0.146
0.11,0.147
0.11,0.147
0.11,0.148
0.13,0.169
0.13,0.169
0.13,0.169
0.13,0.168
0.13,0.169
0.13,0.168
0.13,0.169
0.13,0.168
0.13,0.168
0.13,0.169
0.13,0.168
0.13,0.169
0.13,0.169
0.13,0.168
0.13,0.168
0.13,0.168
0.13,0.169
0.13,0.169
0.13,0.169
0.13,0.169
0.13,0.169
0.13,0.168
0.13,0.169
0.13,0.169
0.13,0.168
0.13,0.168
0.13,0.168
0.13,0.168
0.13,0.168
0.13,0.169
0.13,0.168
0.13,0.169
0.13,0.168
0.13,0.168
0.13,0.168
0.13,0.169
0.13,0.169
0.13,0.169
0.13,0.169
0.13,0.169
0.13,0.169
0.13,0.169
0.13,0.169
0.13,0.169
0.13,0.168
0.13,0.168
0.13,0.169
0.13,0.168
0.13,0.169
0.13,0.168
0.13,0.169
0.13,0.169
0.13,0.169
0.13,0.168
0.15,0.19
0.15,0.191
0.15,0.191
0.15,0.191
0.15,0.19
0.15,0.191
0.15,0.189
0.15,0.191
0.15,0.191
0.15,0.191
0.15,0.189
0.15,0.19
0.15,0.189
0.15,0.191
0.15,0.19
0.15,0.189
0.15,0.191
0.15,0.191
0.15,0.19
0.15,0.191
0.15,0.19
0.15,0.189
0.15,0.189
0.15,0.191
0.15,0.191
0.15,0.19
0.15,0.19
0.15,0.191
0.15,0.19
0.15,0.191
0.15,0.189
0.15,0.19
0.15,0.19
0.15,0.191
0.15,0.191
0.15,0.19
0.15,0.189
0.15,0.19
0.15,0.19
0.15,0.189
0.15,0.189
0.15,0.191
0.15,0.19
0.15,0.191
0.15,0.189
0.15,0.19
0.15,0.189
0.15,0.19
0.15,0.19
0.15,0.189
0.15,0.19
0.15,0.189
0.15,0.189
0.15,0.19
0.15,0.191
0.15,0.189
0.15,0.19
0.15,0.19
0.15,0.191
0.15,0.191
0.15,0.191
0.15,0.191
0.15,0.19
0.15,0.191
0.15,0.19
0.15,0.191
0.15,0.191
0.15,0.191
0.15,0.19
0.15,0.19
0.15,0.189
0.17,0.212
0.17,0.212
0.17,0.213
0.17,0.211
0.17,0.211
0.17,0.212
0.17,0.211
0.17,0.211
0.17,0.213
0.17,0.211
0.17,0.211
0.17,0.212
0.17,0.211
0.17,0.211
0.17,0.212
0.17,0.211
0.17,0.211
0.17,0.212
0.17,0.212
0.17,0.211
0.17,0.213
0.17,0.211
0.17,0.212
0.17,0.211
0.17,0.213
0.17,0.213
0.17,0.211
0.17,0.213
0.17,0.213
0.17,0.212
0.17,0.212
0.17,0.213
0.17,0.212
0.17,0.213
0.17,0.212
0.17,0.211
0.17,0.213
0.17,0.213
0.17,0.211
0.17,0.211
0.17,0.212
0.17,0.211
0.17,0.212
0.17,0.212
0.17,0.212
0.17,0.213
0.17,0.213
0.17,0.211
0.17,0.213
0.17,0.212
0.17,0.212
0.17,0.213
0.17,0.211
0.17,0.212
0.17,0.213
0.17,0.213
0.17,0.213
0.17,0.212
0.17,0.211
0.17,0.212
0.17,0.213
0.17,0.213
0.17,0.212
0.19,0.232
0.19,0.234
0.19,0.232
0.19,0.233
0.19,0.233
0.19,0.233
0.19,0.234
0.19,0.231
0.19,0.231
0.19,0.231
0.19,0.232
0.19,0.231
0.19,0.232
0.19,0.232
0.19,0.234
0.19,0.232
0.19,0.232
0.19,0.233
0.19,0.233
0.19,0.233
0.19,0.232
0.19,0.233
0.19,0.234
0.19,0.233
0.19,0.234
0.19,0.234
0.19,0.233
0.19,0.231
0.19,0.234
0.19,0.232
0.19,0.234
0.19,0.233
0.19,0.234
0.19,0.233
0.19,0.233
0.19,0.232
0.19,0.231
0.19,0.232
0.19,0.231
0.19,0.234
0.19,0.234
0.19,0.231
0.19,0.233
0.19,0.232
0.19,0.233
0.19,0.232
0.19,0.232
0.19,0.232
0.19,0.234
0.19,0.233
0.19,0.234
0.19,0.233
0.19,0.234
0.19,0.233
0.19,0.232
0.19,0.234
0.19,0.232
0.19,0.234
0.19,0.234
0.19,0.234
0.19,0.233
0.19,0.232
0.19,0.234
0.19,0.231
0.19,0.234
0.19,0.232
0.19,0.231
0.19,0.234
0.19,0.232
0.19,0.233
0.19,0.231
0.19,0.234
0.19,0.231
0.19,0.231
0.19,0.233
0.19,0.233
0.19,0.233
0.19,0.231
0.21,0.252
0.21,0.252
0.21,0.254
0.21,0.252
0.21,0.253
0.21,0.254
0.21,0.253
0.21,0.253
0.21,0.254
0.21,0.252
0.21,0.253
0.21,0.254
0.21,0.254
0.21,0.254
0.21,0.252
0.21,0.252
0.21,0.252
0.21,0.253
0.21,0.253
0.21,0.253
0.21,0.252
0.21,0.253
0.21,0.253
0.21,0.254
0.21,0.254
0.21,0.252
0.21,0.252
0.21,0.253
0.21,0.254
0.21,0.253
0.21,0.253
0.21,0.253
0.21,0.253
0.21,0.253
0.21,0.254
0.21,0.252
0.21,0.252
0.21,0.252
0.21,0.254
0.21,0.252
0.21,0.254
0.21,0.254
0.21,0.254
0.21,0.254
0.21,0.252
0.21,0.252
0.21,0.252
0.21,0.252
0.21,0.253
0.21,0.254
0.21,0.253
0.21,0.252
0.21,0.253
0.21,0.254
0.21,0.254
0.21,0.254
0.21,0.254
0.21,0.252
0.21,0.252
0.21,0.253
0.21,0.252
0.21,0.254
0.21,0.254
0.21,0.253
0.21,0.254
0.23,0.274
0.23,0.275
0.23,0.272
0.23,0.274
0.23,0.275
0.23,0.274
0.23,0.275
0.23,0.272
0.23,0.273
0.23,0.273
0.23,0.275
0.23,0.272
0.23,0.275
0.23,0.275
0.23,0.273
0.23,0.275
0.23,0.272
0.23,0.275
0.23,0.274
0.23,0.273
0.23,0.275
0.23,0.275
0.23,0.272
0.23,0.275
0.23,0.274
0.23,0.275
0.23,0.273
0.23,0.272
0.23,0.273
0.23,0.272
0.23,0.274
0.23,0.272
0.23,0.274
0.23,0.272
0.23,0.272
0.23,0.272
0.23,0.275
0.23,0.275
0.23,0.274
0.23,0.274
0.23,0.273
0.23,0.275
0.23,0.275
0.23,0.275
0.23,0.274
0.23,0.274
0.23,0.273
0.23,0.272
0.23,0.274
0.23,0.273
0.23,0.273
0.23,0.273
0.23,0.274
0.23,0.274
0.23,0.273
0.23,0.274
0.23,0.272
0.23,0.274
0.23,0.274
0.23,0.275
0.23,0.275
0.23,0.272
0.23,0.275
0.23,0.274
0.23,0.273
0.23,0.273
0.23,0.272
0.23,0.274
0.23,0.273
0.23,0.274
0.23,0.272
0.25,0.295
0.25,0.294
0.25,0.294
0.25,0.297
0.25,0.297
0.25,0.296
0.25,0.297
0.25,0.296
0.25,0.296
0.25,0.293
0.25,0.296
0.25,0.293
0.25,0.297
0.25,0.295
0.25,0.295
0.25,0.296
0.25,0.295
0.25,0.294
0.25,0.293
0.25,0.293
0.25,0.294
0.25,0.294
0.25,0.296
0.25,0.293
0.25,0.295
0.25,0.297
0.25,0.296
0.25,0.295
0.25,0.293
0.25,0.293
0.25,0.295
0.25,0.297
0.25,0.294
0.25,0.297
0.25,0.296
0.25,0.293
0.25,0.294
0.25,0.294
0.25,0.294
0.25,0.295
0.25,0.295
0.25,0.296
0.25,0.294
0.25,0.295
0.25,0.295
0.25,0.295
0.25,0.297
0.25,0.297
0.25,0.295
0.25,0.297
0.25,0.294
0.25,0.294
0.25,0.296
0.25,0.294
0.25,0.294
0.25,0.294
0.25,0.293
0.25,0.293
0.25,0.293
0.25,0.295
0.25,0.293
0.25,0.294
0.25,0.294
0.25,0.294
0.25,0.293
0.25,0.295
0.25,0.294
0.25,0.296
0.25,0.297
0.25,0.295
0.25,0.297
0.25,0.296
0.25,0.296
0.25,0.294
